archivo,columna,tipo,unidad,rango_admisible,valores_perdidos,procedencia,descripcion
datos_crudos/encuesta_respuestas_crudas.csv,Marca temporal,Fecha/Hora (timestamp),fecha y hora,2026-05-26 a 2026-09 (ventana de recolección),0,"Exportación directa de Google Forms, sin modificar.",Registrado automáticamente por Google Forms al enviar la respuesta.
datos_crudos/encuesta_respuestas_crudas.csv,Puntuación,Numérico entero,puntos,0 (constante; el formulario no usa puntaje),0,"Exportación directa de Google Forms, sin modificar.","Campo de puntaje generado por Google Forms, no utilizado en este cuestionario."
datos_crudos/encuesta_respuestas_crudas.csv,¿Acepta participar en esta encuesta?,Categórico nominal,NA,"{Sí, acepto participar.}",0,"Exportación directa de Google Forms, sin modificar.",Confirmación de consentimiento para responder la encuesta.
datos_crudos/encuesta_respuestas_crudas.csv,1. Rol del participante (Seleccione una opción),Categórico nominal,NA,{Administrador(a) de clínica veterinaria; Auxiliar o técnico veterinario; Médico veterinario(a); Dueño(a) de mascota},0,"Exportación directa de Google Forms, sin modificar.",Rol declarado por el participante en el ámbito veterinario.
datos_crudos/encuesta_respuestas_crudas.csv,2. Edad,Categórico ordinal,NA,{18–25; 26–35; 36–45; 46–55} años,0,"Exportación directa de Google Forms, sin modificar.",Rango de edad autodeclarado.
datos_crudos/encuesta_respuestas_crudas.csv,3. Sexo,Categórico nominal,NA,{Masculino; Femenino},0,"Exportación directa de Google Forms, sin modificar.",Sexo autodeclarado.
datos_crudos/encuesta_respuestas_crudas.csv,4. Ciudad,Categórico nominal (texto con variantes de capitalización sin normalizar),NA,Texto libre; ciudades de Ecuador reportadas por el participante,0,"Exportación directa de Google Forms, sin modificar.",Ciudad de residencia o procedencia declarada.
datos_crudos/encuesta_respuestas_crudas.csv,"5. En caso de trabajar en una clínica veterinaria, ¿cuántos años de experiencia tiene?",Categórico ordinal,años,{Menos de 1 años; De 2 a 5 años; De 6 a 10 años; Más de 10 años; No aplica},0,"Exportación directa de Google Forms, sin modificar.",Tiempo de experiencia trabajando en una clínica veterinaria; 'No aplica' para quien no trabaja en una.
datos_crudos/encuesta_respuestas_crudas.csv,"6. En caso de ser dueño(a) de mascota, ¿cuántas mascotas tiene actualmente?",Categórico ordinal,mascotas,{1; 2; 3 o más; No aplica},0,"Exportación directa de Google Forms, sin modificar.",Cantidad de mascotas que posee actualmente el participante.
datos_crudos/encuesta_respuestas_crudas.csv,1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?,Categórico ordinal (escala Likert 5 niveles),NA,{Muy mala; Mala; Regular; Buena; Muy buena},0,"Exportación directa de Google Forms, sin modificar.",Valoración de la organización y gestión de información en clínicas veterinarias.
