"pregunta","perfil","n","media","mediana","de","minimo","maximo","iqr"
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Todos los perfiles",210,3.42,4,0.83,1,5,1
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria",56,3.8,4,0.4,3,4,0
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Auxiliar o técnico veterinario",55,3.18,3,0.61,1,4,0.5
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Dueño(a) de mascota",49,3,3,1.21,1,5,2
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Médico veterinario(a)",50,3.68,4,0.68,3,5,1
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Todos los perfiles",210,4.12,4,0.99,1,5,1
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria",56,4.41,5,1.2,2,5,0
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Auxiliar o técnico veterinario",55,3.89,4,1.07,2,5,2
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Dueño(a) de mascota",49,3.71,4,0.82,1,5,1
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Médico veterinario(a)",50,4.44,4,0.5,4,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Todos los perfiles",210,4.38,5,0.78,1,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria",56,4.8,5,0.4,4,5,0
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario",55,4.36,4,0.49,4,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Dueño(a) de mascota",49,4,4,1.06,1,5,2
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Médico veterinario(a)",50,4.3,5,0.84,3,5,1
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Todos los perfiles",210,3.71,4,1.1,1,5,1
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria",56,4.36,4,0.48,4,5,1
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Auxiliar o técnico veterinario",55,3.42,3,1.33,1,5,1.5
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Dueño(a) de mascota",49,3.29,4,1.26,1,5,1
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Médico veterinario(a)",50,3.72,4,0.81,1,5,1
