"pregunta","perfil","n","estadistico_W","valor_p","nota"
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Administrador(a) de clínica veterinaria",45,0.7417,0,"rechaza normalidad (p < 0.05)"
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Auxiliar o técnico veterinario",42,0.8248,0,"rechaza normalidad (p < 0.05)"
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Dueño(a) de mascota",80,0.8624,0,"rechaza normalidad (p < 0.05)"
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Médico veterinario(a)",43,0.8782,3e-04,"rechaza normalidad (p < 0.05)"
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Administrador(a) de clínica veterinaria",45,0.8081,0,"rechaza normalidad (p < 0.05)"
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Auxiliar o técnico veterinario",42,0.8378,0,"rechaza normalidad (p < 0.05)"
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Dueño(a) de mascota",80,0.8388,0,"rechaza normalidad (p < 0.05)"
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Médico veterinario(a)",43,0.8043,0,"rechaza normalidad (p < 0.05)"
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria",45,0.7006,0,"rechaza normalidad (p < 0.05)"
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario",42,0.7848,0,"rechaza normalidad (p < 0.05)"
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Dueño(a) de mascota",80,0.7803,0,"rechaza normalidad (p < 0.05)"
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Médico veterinario(a)",43,0.6651,0,"rechaza normalidad (p < 0.05)"
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las veterinarias?","Administrador(a) de clínica veterinaria",45,0.8655,1e-04,"rechaza normalidad (p < 0.05)"
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las veterinarias?","Auxiliar o técnico veterinario",42,0.8402,0,"rechaza normalidad (p < 0.05)"
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las veterinarias?","Dueño(a) de mascota",80,0.8866,0,"rechaza normalidad (p < 0.05)"
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las veterinarias?","Médico veterinario(a)",43,0.8203,0,"rechaza normalidad (p < 0.05)"
