"pregunta","perfil_a","perfil_b","prueba","n_a","n_b","estadistico","gl","valor_p","valor_p_holm","significativo_holm_0.05"
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario","Wilcoxon (Mann-Whitney U)",45,42,1009,NA,0.5544,1,FALSE
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",45,80,1917,NA,0.5169,1,FALSE
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Administrador(a) de clínica veterinaria","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",45,43,1124,NA,0.1565,1,FALSE
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Auxiliar o técnico veterinario","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",42,80,1687,NA,0.97,1,FALSE
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Auxiliar o técnico veterinario","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",42,43,985.5,NA,0.4348,1,FALSE
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Dueño(a) de mascota","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",80,43,1863,NA,0.4181,1,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario","Wilcoxon (Mann-Whitney U)",45,42,1086.5,NA,0.2033,1,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",45,80,2119.5,NA,0.0766,1,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Administrador(a) de clínica veterinaria","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",45,43,1005.5,NA,0.7336,1,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Auxiliar o técnico veterinario","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",42,80,1686,NA,0.9748,1,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Auxiliar o técnico veterinario","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",42,43,792.5,NA,0.3026,1,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Dueño(a) de mascota","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",80,43,1464.5,NA,0.1395,1,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario","Wilcoxon (Mann-Whitney U)",45,42,1128.5,NA,0.0841,1,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",45,80,2068,NA,0.1281,1,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",45,43,950,NA,0.8695,1,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",42,80,1631.5,NA,0.7792,1,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",42,43,740.5,NA,0.1144,1,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Dueño(a) de mascota","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",80,43,1472.5,NA,0.1467,1,FALSE
