"pregunta","perfil_a","perfil_b","delta_cliff","delta_cliff_ic95_inf","delta_cliff_ic95_sup","cohen_d","cohen_d_ic95_inf","cohen_d_ic95_sup"
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario",0.556,0.393,0.703,1.205,0.827,1.73
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota",0.382,0.194,0.561,0.918,0.564,1.314
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria","Médico veterinario(a)",0.147,-0.05,0.346,0.224,-0.161,0.67
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Auxiliar o técnico veterinario","Dueño(a) de mascota",-0.001,-0.224,0.226,0.193,-0.204,0.587
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Auxiliar o técnico veterinario","Médico veterinario(a)",-0.352,-0.529,-0.169,-0.77,-1.149,-0.432
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Dueño(a) de mascota","Médico veterinario(a)",-0.277,-0.476,-0.069,-0.695,-1.069,-0.335
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario",0.362,0.174,0.551,0.457,0.091,0.911
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota",0.541,0.329,0.732,0.669,0.272,1.198
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria","Médico veterinario(a)",0.254,0.057,0.449,-0.031,-0.358,0.408
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Auxiliar o técnico veterinario","Dueño(a) de mascota",0.151,-0.059,0.362,0.185,-0.193,0.578
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Auxiliar o técnico veterinario","Médico veterinario(a)",-0.257,-0.444,-0.063,-0.649,-0.998,-0.313
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Dueño(a) de mascota","Médico veterinario(a)",-0.509,-0.656,-0.349,-1.074,-1.461,-0.757
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario",0.44,0.277,0.602,0.989,0.576,1.513
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota",0.468,0.296,0.628,1.029,0.703,1.403
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Médico veterinario(a)",0.311,0.135,0.479,0.78,0.416,1.172
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario","Dueño(a) de mascota",0.145,-0.069,0.347,0.45,0.078,0.799
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario","Médico veterinario(a)",-0.024,-0.243,0.191,0.094,-0.307,0.47
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Dueño(a) de mascota","Médico veterinario(a)",-0.147,-0.355,0.065,-0.314,-0.692,0.075
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario",0.43,0.232,0.614,0.942,0.621,1.296
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota",0.516,0.338,0.676,1.154,0.817,1.532
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria","Médico veterinario(a)",0.454,0.277,0.62,0.969,0.611,1.4
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Auxiliar o técnico veterinario","Dueño(a) de mascota",0.056,-0.167,0.27,0.102,-0.281,0.488
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Auxiliar o técnico veterinario","Médico veterinario(a)",-0.09,-0.299,0.124,-0.271,-0.636,0.095
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Dueño(a) de mascota","Médico veterinario(a)",-0.155,-0.369,0.066,-0.411,-0.805,-0.024
