"pregunta","perfil","n","media","mediana","de","minimo","maximo","iqr"
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Todos los perfiles",210,3.48,3,0.88,1,5,1
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Administrador(a) de clínica veterinaria",45,3.56,4,0.69,1,5,1
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Auxiliar o técnico veterinario",42,3.5,3,0.92,1,5,1
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Dueño(a) de mascota",80,3.48,3,0.95,1,5,1
"1. ¿Cómo califica la organización y gestión de la información en un centro veterinario que conoce o utiliza?","Médico veterinario(a)",43,3.37,3,0.9,1,5,1
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Todos los perfiles",210,4.06,4,0.85,1,5,1
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Administrador(a) de clínica veterinaria",45,4.22,4,0.79,2,5,1
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Auxiliar o técnico veterinario",42,3.9,4,1.08,1,5,2
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Dueño(a) de mascota",80,3.98,4,0.78,2,5,0.25
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una veterinaria?","Médico veterinario(a)",43,4.19,4,0.73,2,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Todos los perfiles",210,4.35,5,0.82,1,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria",45,4.53,5,0.59,3,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario",42,4.26,4,0.73,3,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Dueño(a) de mascota",80,4.25,4,0.88,2,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Médico veterinario(a)",43,4.42,5,0.96,1,5,1
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las veterinarias?","Todos los perfiles",210,3.74,4,1.06,1,5,2
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las veterinarias?","Administrador(a) de clínica veterinaria",45,3.76,4,0.91,2,5,1
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las veterinarias?","Auxiliar o técnico veterinario",42,3.9,4,1.1,1,5,2
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las veterinarias?","Dueño(a) de mascota",80,3.51,4,1.15,1,5,1
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las veterinarias?","Médico veterinario(a)",43,4,4,0.95,1,5,2
